bugid,tempo_space
545228,"[('N', '0'), ('D', '0'), ('D', '1'), ('C', '3'), ('D', '4'), ('C', '16'), ('D', '22'), ('C', '23'), ('C', '28'), ('C', '36'), ('A', '36'), ('V', '36'), ('C', '36'), ('Y', '36'), ('L', '37'), ('Z', '37')]"
545266,"[('E', '0'), ('C', '3'), ('C', '9'), ('A', '20'), ('C', '26'), ('C', '28'), ('F', '30'), ('Z', '36')]"
564676,"[('M', '0'), ('C', '1'), ('C', '2'), ('C', '36'), ('Z', '36')]"
579176,"[('E', '0'), ('D', '0'), ('C', '6'), ('C', '34'), ('L', '37'), ('Z', '37')]"
579239,"[('N', '0'), ('C', '1'), ('Z', '36')]"
583653,"[('E', '0'), ('C', '1'), ('C', '36'), ('Z', '37')]"
595934,"[('E', '0'), ('D', '0'), ('C', '7'), ('A', '9'), ('C', '15'), ('C', '15'), ('C', '18'), ('A', '18'), ('W', '29'), ('W', '30'), ('V', '31'), ('C', '36'), ('V', '36'), ('W', '36'), ('Y', '36'), ('W', '37'), ('F', '37'), ('Z', '37')]"
604941,"[('E', '0'), ('C', '0'), ('C', '1'), ('A', '31'), ('V', '32'), ('F', '33'), ('F', '33'), ('F', '33'), ('F', '33'), ('F', '33'), ('V', '33'), ('F', '33'), ('Y', '33'), ('C', '35'), ('Y', '36'), ('C', '36'), ('L', '36'), ('Z', '36')]"
624639,"[('M', '0'), ('C', '0'), ('C', '1'), ('A', '21'), ('V', '21'), ('Y', '21'), ('L', '37'), ('Z', '37')]"
649409,"[('N', '0'), ('C', '0'), ('C', '0'), ('V', '0'), ('V', '1'), ('D', '1'), ('A', '1'), ('Y', '1'), ('Y', '1'), ('Z', '36')]"
671350,"[('M', '0'), ('W', '8'), ('A', '12'), ('C', '12'), ('W', '12'), ('C', '12'), ('W', '12'), ('P', '12'), ('Z', '37')]"
688083,"[('M', '0'), ('V', '3'), ('C', '7'), ('C', '10'), ('V', '13'), ('Y', '27'), ('C', '34'), ('W', '34'), ('L', '37'), ('W', '37'), ('Z', '37')]"
707567,"[('N', '0'), ('D', '0'), ('C', '2'), ('V', '14'), ('A', '14'), ('V', '14'), ('V', '34'), ('C', '34'), ('Y', '35'), ('L', '36'), ('Z', '36')]"
